(1, 'Australia', 'Australian Capital Territory', 595, Timestamp('2008-01-01 00:00:00')),
(45, 'United States', 'Connecticut', 2000, Timestamp('2007-07-08 00:00:00')),
(46, 'United States', 'Delaware', 1015, Timestamp('2012-08-08 00:00:00')),
(47, 'United States', 'Hawaii', 1120, Timestamp('2015-04-04 00:00:00')),
(48, 'United States', 'Idaho', 1540, Timestamp('2012-12-15 00:00:00')),
(49, 'United States', 'Iowa', 2000, Timestamp('2018-06-03 00:00:00')),
(50, 'United States', 'Kansas', 2000, Timestamp('2008-03-06 00:00:00')),
(51, 'United States', 'Maine', 1295, Timestamp('2010-01-01 00:00:00')),
(52, 'United States', 'Mississippi', 2000, Timestamp('2009-06-03 00:00:00')),
(53, 'United States', 'Montana', 1260, Timestamp('2012-06-06 00:00:00')),
(54, 'United States', 'Nebraska', 2000, Timestamp('2013-06-07 00:00:00')),
(55, 'United States', 'Nevada', 2000, Timestamp('2009-12-15 00:00:00')),
(56, 'United States', 'New Hampshire', 1260, Timestamp('2015-01-01 00:00:00')),
(57, 'United States', 'New Mexico', 1645, Timestamp('2010-06-03 00:00:00')),
(58, 'United States', 'North Dakota', 1330, Timestamp('2007-07-08 00:00:00')),
(59, 'United States', 'Oregon', 2000, Timestamp('2012-08-08 00:00:00')),
(60, 'United States', 'Rhode Island', 1260, Timestamp('2005-04-04 00:00:00')),
(61, 'United States', 'South Carolina', 2000, Timestamp('2012-12-15 00:00:00')),
(62, 'United States', 'South Dakota', 1120, Timestamp('2018-06-03 00:00:00')),
(63, 'United States', 'Utah', 2000, Timestamp('2008-03-06 00:00:00')),
(64, 'United States', 'Washington DC', 1330, Timestamp('2010-01-01 00:00:00')),
(65, 'United States', 'West Virginia', 1785, Timestamp('2012-01-01 00:00:00')),
(66, 'United States', 'Wyoming', 840, Timestamp('2014-01-01 00:00:00')),
(0, 'Online', 'Online', 0, Timestamp('2010-01-01 00:00:00')),
